telemetry_name,telemetry_value,vehicle_id_x,meta_time,chassis,lap,vehicle_id_y,meta_time_start,meta_time_end
gear,2.0,GR86-004-78,2025-09-06 18:40:49.978000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
nmot,6903.0,GR86-004-78,2025-09-06 18:40:49.978000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,2.0,GR86-004-78,2025-09-06 18:40:49.978000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,2.0,GR86-004-78,2025-09-06 18:40:49.979000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
speed,119.42,GR86-004-78,2025-09-06 18:40:49.979000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,2.0,GR86-004-78,2025-09-06 18:40:49.979000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,2.0,GR86-004-78,2025-09-06 18:40:49.979000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,2.0,GR86-004-78,2025-09-06 18:40:49.979000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
nmot,7000.0,GR86-004-78,2025-09-06 18:40:49.981000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,2.0,GR86-004-78,2025-09-06 18:40:49.981000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,2.0,GR86-004-78,2025-09-06 18:40:49.981000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
speed,122.83,GR86-004-78,2025-09-06 18:40:49.981000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,2.0,GR86-004-78,2025-09-06 18:40:49.981000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
nmot,7186.0,GR86-004-78,2025-09-06 18:40:49.982000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,2.0,GR86-004-78,2025-09-06 18:40:49.982000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,3.0,GR86-004-78,2025-09-06 18:40:49.982000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,3.0,GR86-004-78,2025-09-06 18:40:49.982000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,3.0,GR86-004-78,2025-09-06 18:40:49.982000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,2.0,GR86-004-78,2025-09-06 18:40:49.982000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
nmot,7088.0,GR86-004-78,2025-09-06 18:40:49.982000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,2.0,GR86-004-78,2025-09-06 18:40:49.982000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,2.0,GR86-004-78,2025-09-06 18:40:49.982000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,2.0,GR86-004-78,2025-09-06 18:40:49.982000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
speed,124.46,GR86-004-78,2025-09-06 18:40:49.982000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,3.0,GR86-004-78,2025-09-06 18:40:49.983000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,3.0,GR86-004-78,2025-09-06 18:40:49.983000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
speed,127.57,GR86-004-78,2025-09-06 18:40:49.983000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,3.0,GR86-004-78,2025-09-06 18:40:49.983000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,3.0,GR86-004-78,2025-09-06 18:40:49.983000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
nmot,5987.0,GR86-004-78,2025-09-06 18:40:49.983000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,3.0,GR86-004-78,2025-09-06 18:40:49.983000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,3.0,GR86-004-78,2025-09-06 18:40:49.983000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
gear,3.0,GR86-004-78,2025-09-06 18:40:49.983000+00:00,004-78,3.0,GR86-004-78,2025-09-06 18:40:49.987000+00:00,2025-09-06 18:42:36.468000+00:00
