telemetry_name,telemetry_value,vehicle_id_x,meta_time,chassis,lap,vehicle_id_y,meta_time_start,meta_time_end
gear,1.0,GR86-002-000,2025-09-06 18:40:40.070000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
nmot,6444.0,GR86-002-000,2025-09-06 18:40:40.070000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.070000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
nmot,6630.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
speed,89.17,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
nmot,6471.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
nmot,6531.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
speed,90.3,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
speed,91.48,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.095000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
nmot,6675.0,GR86-002-000,2025-09-06 18:40:40.096000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
nmot,6666.0,GR86-002-000,2025-09-06 18:40:40.096000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.096000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
gear,1.0,GR86-002-000,2025-09-06 18:40:40.096000+00:00,002-000,3.0,GR86-002-000,2025-09-06 18:40:41.927000+00:00,2025-09-06 18:42:28.189000+00:00
